"","UNIQUE_CARRIER_NAME","YEAR","MONTH","sum_seats","sum_passengers","sum_distance","sum_airtime","Date","log_passenger","log_seats","log_airtime","log_distance"
"1","40-Mile Air",2015,1,264,43,929,3564,2015-01-01,3.78418963391826,5.57972982598622,8.1789193328484,6.8351845861473
"2","40-Mile Air",2015,2,256,53,1476,3559,2015-02-01,3.98898404656427,5.54907608489522,8.17751582384608,7.29776828253138
"3","40-Mile Air",2015,3,228,51,1571,3278,2015-03-01,3.95124371858143,5.43372200355424,8.09529377684465,7.36010397298915
"4","40-Mile Air",2015,4,164,39,1292,2396,2015-04-01,3.68887945411394,5.10594547390058,7.78197323443438,7.16472037877186
"5","40-Mile Air",2015,5,335,97,1670,5745,2015-05-01,4.58496747867057,5.8171111599632,8.65625923953924,7.42117752859539
"6","40-Mile Air",2015,6,521,120,2607,10701,2015-06-01,4.79579054559674,6.25766758788264,9.27818591887125,7.86633892304654
"7","40-Mile Air",2015,7,381,105,2712,8163,2015-07-01,4.66343909411207,5.94542060860658,9.00748952392973,7.90581031265893
"8","40-Mile Air",2015,8,231,47,1669,3411,2015-08-01,3.87120101090789,5.44673737166631,8.13505390861157,7.4205789054108
"9","40-Mile Air",2015,9,317,54,1414,4212,2015-09-01,4.00733318523247,5.76205138278018,8.34593026197902,7.25488481007734
"10","40-Mile Air",2015,10,370,99,1858,5561,2015-10-01,4.60517018598809,5.91620206260743,8.62371303479391,7.52779398772144
"11","40-Mile Air",2015,11,268,60,2282,3454,2015-11-01,4.11087386417331,5.59471137960184,8.14757773620177,7.7332456465298
"12","40-Mile Air",2015,12,216,23,1294,2829,2015-12-01,3.17805383034795,5.37989735354046,7.94803199063728,7.16626597413364
"13","ABS JETS A.S",2015,2,13,7,192,0,2015-02-01,2.07944154167984,2.63905732961526,0,5.26269018890489
"14","ABS JETS A.S",2015,8,98,35,3885,0,2015-08-01,3.58351893845611,4.59511985013459,0,8.26513562993738
"15","ABX Air Inc",2015,1,0,0,87285,126161,2015-01-01,0,0,11.7453220743965,11.3769453624155
"16","ABX Air Inc",2015,2,0,0,98038,111889,2015-02-01,0,0,11.6252715248018,11.4931206376716
"17","ABX Air Inc",2015,3,439,0,71109,108233,2015-03-01,0,6.08677472691231,11.5920508289357,11.1719832528776
"18","ABX Air Inc",2015,4,0,0,68871,108644,2015-04-01,0,0,11.5958409652975,11.1400049883378
"19","ABX Air Inc",2015,5,0,0,74561,109237,2015-05-01,0,0,11.6012842671081,11.219386273034
"20","ABX Air Inc",2015,6,0,0,60919,90334,2015-06-01,0,0,11.411280261208,11.0173168070091
"21","ABX Air Inc",2015,7,0,0,54632,99656,2015-07-01,0,0,11.5094895690343,10.9083933747639
"22","ABX Air Inc",2015,8,0,0,64779,94450,2015-08-01,0,0,11.4558364604861,11.0787521927253
"23","ABX Air Inc",2015,9,0,0,70572,104326,2015-09-01,0,0,11.5552854761363,11.1644029140733
"24","ABX Air Inc",2015,10,0,0,73260,120702,2015-10-01,0,0,11.7010882617892,11.2017836862533
"25","ABX Air Inc",2015,11,0,0,83977,111578,2015-11-01,0,0,11.6224881391798,11.3383101387605
"26","ABX Air Inc",2015,12,0,0,91407,145986,2015-12-01,0,0,11.8912728556302,11.4230882809642
"27","ACM AIR CHARTER GmbH",2015,4,67,12,5649,0,2015-04-01,2.56494935746154,4.21950770517611,0,8.63941082414049
"28","ACM AIR CHARTER GmbH",2015,6,10,0,558,0,2015-06-01,0,2.39789527279837,0,6.3261494731551
"29","ACM AIR CHARTER GmbH",2015,9,60,8,13049,0,2015-09-01,2.19722457733622,4.11087386417331,0,9.47654341275084
"30","ACM AIR CHARTER GmbH",2015,11,58,10,6500,0,2015-11-01,2.39789527279837,4.07753744390572,0,8.77971129020447
"31","ACM AIR CHARTER GmbH",2015,12,40,9,6195,0,2015-12-01,2.30258509299405,3.71357206670431,0,8.73165920153676
"32","Aerolitoral",2015,1,99,53,1417,0,2015-01-01,3.98898404656427,4.60517018598809,0,7.25700270709207
"33","Aerolitoral",2015,4,297,207,415,0,2015-04-01,5.33753807970132,5.6970934865054,0,6.03068526026126
"34","Aerolitoral",2015,7,175,129,376,0,2015-07-01,4.86753445045558,5.17048399503815,0,5.93224518744801
"35","Aerolitoral",2015,10,99,91,224,0,2015-10-01,4.52178857704904,4.60517018598809,0,5.41610040220442
"36","Aerolitoral",2015,11,198,149,383,0,2015-11-01,5.01063529409626,5.29330482472449,0,5.95064255258773
"37","AeroLogic GmbH",2015,1,0,0,1744,0,2015-01-01,0,0,0,7.46450983463653
"38","AeroLogic GmbH",2015,2,0,0,1744,0,2015-02-01,0,0,0,7.46450983463653
"39","AeroLogic GmbH",2015,3,0,0,1744,0,2015-03-01,0,0,0,7.46450983463653
"40","AeroLogic GmbH",2015,4,0,0,1744,0,2015-04-01,0,0,0,7.46450983463653
"41","AeroLogic GmbH",2015,5,0,0,1744,0,2015-05-01,0,0,0,7.46450983463653
"42","AeroLogic GmbH",2015,6,0,0,1744,0,2015-06-01,0,0,0,7.46450983463653
"43","AeroLogic GmbH",2015,7,0,0,1744,0,2015-07-01,0,0,0,7.46450983463653
"44","AeroLogic GmbH",2015,8,0,0,1744,0,2015-08-01,0,0,0,7.46450983463653
"45","AeroLogic GmbH",2015,9,0,0,1744,0,2015-09-01,0,0,0,7.46450983463653
"46","AeroLogic GmbH",2015,10,0,0,1744,0,2015-10-01,0,0,0,7.46450983463653
"47","AeroLogic GmbH",2015,11,0,0,1744,0,2015-11-01,0,0,0,7.46450983463653
"48","AeroLogic GmbH",2015,12,0,0,1744,0,2015-12-01,0,0,0,7.46450983463653
"49","Aeromexico",2015,1,444,302,603,0,2015-01-01,5.71373280550937,6.09807428216624,0,6.40357419793482
"50","Aeromexico",2015,2,160,147,67,0,2015-02-01,4.99721227376411,5.08140436498446,0,4.21950770517611
"51","Aeromexico",2015,4,320,260,281,0,2015-04-01,5.56452040732269,5.77144112313002,0,5.64190707093811
"52","Aeromexico",2015,6,284,174,726,0,2015-06-01,5.16478597392351,5.65248918026865,0,6.58892647753352
"53","Aeromexico",2015,7,506,495,1700,0,2015-07-01,6.20657592672493,6.22851100359118,0,7.43897159239586
"54","Aeromexico",2015,8,604,522,294,0,2015-08-01,6.25958146406492,6.40522845803084,0,5.68697535633982
"55","Aeromexico",2015,9,124,38,192,0,2015-09-01,3.66356164612965,4.8283137373023,0,5.26269018890489
"56","Aeromexico",2015,10,186,158,86,0,2015-10-01,5.06890420222023,5.23110861685459,0,4.46590811865458
"57","Aeromexico",2015,11,160,109,258,0,2015-11-01,4.70048036579242,5.08140436498446,0,5.55682806169954
"58","Aeromexico",2015,12,444,358,415,0,2015-12-01,5.88332238848828,6.09807428216624,0,6.03068526026126
